date,type,event,impact,sentiment,source,territory,auto_generated,hash,date_added
2026-04-16,Structural,NurExone Q4 & FY2025 results: ExoPTEN manufacturing process validated; Phase 1/2a SCI trial on track,Clinical-grade exosome manufacturing de-risked; Phase 1/2a enrollment timeline confirmed for 2026,🟢 Positive,https://www.globenewswire.com/news-release/2026/04/16/3275467/0/en/NurExone-Biologic-Inc-Announces-Fourth-Quarter-and-Full-Year-2025-Financial-Results-and-Provides-Corporate-Update.html,Global,auto,455af5d39cc5,2020-01-01
2026-05-05,Partnership,RoosterBio + Made Scientific announce strategic MSC & EV manufacturing partnership; GMP bioreactor scale-up to Q2 2026,Commercial-scale GMP exosome supply chain strengthens; lowers barrier to clinical-grade sourcing globally,🟢 Positive,https://www.prnewswire.com/news-releases/roosterbio-and-made-scientific-announce-strategic-technology-and-supply-partnership-to-expand-scalable-msc-and-extracellular-vesicle-manufacturing-302761580.html,Global,auto,f87ea0d4a1b2,2020-01-01
2026-04-08,Partnership,RoosterBio + MineBio Life Sciences: exclusive China distribution deal for MSC & exosome bioprocessing media,China market access for GMP-grade exosome inputs opens; reduces cost asymmetry with Asian manufacturers,🟢 Positive,https://bioinformant.com/roosterbio-and-minebio/amp/,China,auto,aff4532709af,2020-01-01
2026-01-26,Structural,Astute Analytica: exosome therapy market projected $309.6B by 2035 (CAGR ~18%); manufacturing scale-up cited as key driver,Macro market validation; scale-up imperative underscores COGS reduction as #1 strategic lever,🟢 Positive,https://www.globenewswire.com/news-release/2026/01/26/3225649/0/en/Exosome-Therapy-Market-Projected-to-Reach-US-309-60-Billion-by-2035-Supported-by-Clinical-Translation-and-Manufacturing-Scale-Up-Says-Astute-Analytica.html,Global,auto,76895fab8ba9,2020-01-01
2026-04-01,Structural,Aesthetic Surgery Journal meta-analysis: exosome facial treatments show 20.2% wrinkle reduction; 9 ongoing clinical trials globally,Clinical evidence base strengthens aesthetic positioning; supports premium pricing for documented BM-MSC efficacy,🟢 Positive,https://academic.oup.com/asj/article/46/Supplement_1/S13/8512052,Global,auto,c1f6a61b79cb,2020-01-01
2026-01-30,Structural,Estée Lauder unveils exosome + sirtuin longevity research at IMCAS 2026 Paris; signals luxury skincare pivot to exosomes,Mass-market brand validation elevates consumer awareness; premium clinic channel demand accelerates,🟢 Positive,https://cosmeticsbusiness.com/est%C3%A9e-lauder-companies-unveils-new-insights-sirtuin-exosome,EU,auto,d64bf5ca9ac9,2020-01-01
2026-05-01,Regulatory,South Korea MFDS 2026 three-pillar cosmetics policy: mandatory safety assessments piloted 2026-27; 'exosome' ad term banned since Jan 2025,KR market tightening; product claims must be reformulated; opens gap for clinical-grade differentiated products,🟡 Neutral,https://stylestory.com.au/blogs/podcast/why-korea-banned-exosome-skincare-ads-and-what-it-means-for-the-industry,South Korea,auto,6e69e67a2d35,2020-01-01
2026-05-14,Regulatory,Philippines ACD enforcement deadline May 14 2026: only ACD-compliant cosmetics permitted; non-compliant products withdrawn,SEA market entry now requires ACD compliance; companies with compliant products gain clean channel access,🟡 Neutral,https://www.fda.gov.ph/fda-circular-no-2025-002-updates-and-amendments-to-the-asean-cosmetic-directive-acd-as-adopted-during-the-39th-asean-cosmetic-committee-acc-meeting-and-its-related-meetings/,Philippines,auto,44a8cf7bd9da,2020-01-01
2026-05-28,Regulatory,Exosome hair loss trial terminated,Delayed market entry for BM-MSC exosome hair loss treatment,🔴 Risk,https://clinicaltrials.gov/study/NCT06932393?cond=exosome,China,auto,7ffd6f544a4b,2020-01-01
2026-05-26,Regulatory,Trial suspended,Delayed market entry for BM-MSC exosome products,🔴 Risk,https://clinicaltrials.gov/study/NCT06866184?term=extracellular+vesicle,EU,auto,010e78ef6c96,2020-01-01
2026-06-02,Regulatory,Vitro Biopharma study completed,Validates exosome serum for cosmetic use,🟢 Positive,https://clinicaltrials.gov/study/NCT07620158?cond=exosome,USA,auto,3fb71ab4dd99,2020-01-01
2026-06-02,Regulatory,Vitro Biopharma study completed,Validates exosome serum for cosmetic use,🟢 Positive,https://clinicaltrials.gov/study/NCT07620158?term=extracellular+vesicle,USA,auto,3fb71ab4dd99,2020-01-01
2026-06-02,Regulatory,EV isolation protocol optimized,Improved EV yield for BM-MSC exosome manufacturers,🟢 Positive,https://clinicaltrials.gov/study/NCT06952751?term=extracellular+vesicle,EU,auto,372ce4c600cf,2020-01-01
2026-06-03,Regulatory,Dry eye trial starts,Potential new indication for BM-MSC exosome products,🟢 Positive,https://clinicaltrials.gov/study/NCT07623382?term=extracellular+vesicle,China,auto,4bca7c2f1238,2020-01-01
2026-06-04,Investment,Trial for Crohn's disease,Potential market expansion for BM-MSC exosome products,🟢 Positive,https://clinicaltrials.gov/study/NCT07625293?term=extracellular+vesicle,USA,auto,a0a01dc35af8,2020-01-01
2026-06-18,Investment,Trial for MSC-exosome therapy,Potential new indication for BM-MSC exosome manufacturers,🟢 Positive,https://clinicaltrials.gov/study/NCT07638813?cond=exosome,Global,auto,61929460f7d6,2026-06-21
2026-06-17,Regulatory,Lower back pain study,Potential market for BM-MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT07587047?cond=exosome,USA,auto,1e58eb1cd5a8,2026-06-21
2026-06-24,Regulatory,Trial for exosomes,Potential new use case,🟢 Positive,https://clinicaltrials.gov/study/NCT07665619?cond=exosome,China,auto,8bf59cb05527,2026-06-25
2026-06-24,Regulatory,XoGlo Pro trial announced,Potential market expansion for BM-MSC exosome manufacturers,🟢 Positive,https://clinicaltrials.gov/study/NCT07664696?cond=exosome,USA,auto,c3446f306034,2026-06-25
2026-06-24,Regulatory,XoGlo Pro trial initiated,Potential market expansion for BM-MSC exosome products,🟢 Positive,https://clinicaltrials.gov/study/NCT07664696?term=extracellular+vesicle,USA,auto,c3446f306034,2026-06-25
2026-06-26,Regulatory,Lung cancer exosome study completed,May inform BM-MSC exosome therapy development,🟡 Neutral,https://clinicaltrials.gov/study/NCT04939324?cond=exosome,EU,auto,079e40d51096,2026-06-27
2026-06-29,Regulatory,Clinical trial for EVs,Potential use for BM-MSC exosomes,🟢 Positive,https://clinicaltrials.gov/study/NCT07673536?term=extracellular+vesicle,Global,auto,26d64e1182c4,2026-06-30
2026-06-30,Regulatory,Clinical trial for syringomyelia,Potential market for BM-MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT07295067?term=extracellular+vesicle,China,auto,388e035c5b65,2026-07-01
2026-07-01,Regulatory,Parkinson's trial recruiting,Potential for BM-MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT07679256?cond=exosome,China,auto,6f9401050152,2026-07-02
2026-07-06,Investment,STEVIA trial recruiting,Potential market for BM-MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT06995625?cond=exosome,Global,auto,328c3b08b075,2026-07-07
2026-07-06,Regulatory,Sarcoma clinical trial,Potential for BM-MSC exosome biomarker discovery,🟢 Positive,https://clinicaltrials.gov/study/NCT07685405?term=extracellular+vesicle,EU,auto,a87852b1bd5e,2026-07-07
2026-07-06,Investment,STEVIA trial recruiting,Potential market for BM-MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT06995625?term=extracellular+vesicle,Global,auto,328c3b08b075,2026-07-07
2026-07-06,Regulatory,Breast cancer trial,Potential for MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT05831397?term=extracellular+vesicle,EU,auto,77e166947e77,2026-07-07
2026-07-07,Regulatory,Clinical trial for CRLM,Potential for BM-MSC exosome in cancer detection,🟢 Positive,https://clinicaltrials.gov/study/NCT07224724?cond=exosome,USA,auto,106eedd38733,2026-07-08
2026-07-07,Regulatory,Clinical trial for liver cancer,Potential market expansion for BM-MSC exosome diagnostics,🟢 Positive,https://clinicaltrials.gov/study/NCT06342414?cond=exosome,USA,auto,5e13c551b2ad,2026-07-08
2026-07-07,Regulatory,Clinical trial on obesity,Potential for exosome therapy in obesity treatment,🟢 Positive,https://clinicaltrials.gov/study/NCT05933707?cond=exosome,USA,auto,451e1c6002b1,2026-07-08
2026-07-07,Regulatory,Preeclampsia study,Potential for BM-MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT04154332?cond=exosome,USA,auto,c83a6b61a11e,2026-07-08
2026-07-07,Regulatory,Clinical trial on obesity,Potential for exosome therapy in obesity treatment,🟢 Positive,https://clinicaltrials.gov/study/NCT05933707?term=extracellular+vesicle,USA,auto,451e1c6002b1,2026-07-08
2026-07-07,Regulatory,Clinical trial for NSCLC biomarkers,Potential for BM-MSC exosome use in cancer diagnosis,🟢 Positive,https://clinicaltrials.gov/study/NCT05424029?term=extracellular+vesicle,USA,auto,2f31a8e5e2dd,2026-07-08
2026-07-08,Regulatory,Clinical trial for EVs,Potential competition for BM-MSC exosomes,🔴 Risk,https://clinicaltrials.gov/study/NCT05774509?term=extracellular+vesicle,France,auto,6b9debc78901,2026-07-09
2026-07-09,Regulatory,Atopic dermatitis trial,Potential market for BM-MSC exosome,🟢 Positive,https://clinicaltrials.gov/study/NCT07693400?cond=exosome,Taiwan,auto,ce6846fc6c9f,2026-07-10
2026-07-09,Investment,T2DM exosome trial,Potential market for BM-MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT07693036?cond=exosome,China,auto,987c88a862ca,2026-07-10
2026-07-09,Regulatory,Exosome trial starts,New market for BM-MSC exosome,🟢 Positive,https://clinicaltrials.gov/study/NCT07693244?cond=exosome,Global,auto,a58fc6cc1874,2026-07-10
2026-07-10,Investment,Clinical trial on scalp care,Potential market for BM-MSC exosome,🟢 Positive,https://clinicaltrials.gov/study/NCT07271212?term=extracellular+vesicle,Global,auto,2af03164fb4f,2026-07-11
2026-07-13,Regulatory,Clinical trial on exosomes,Potential for BM-MSC exosome use in dentistry,🟢 Positive,https://clinicaltrials.gov/study/NCT07511959?cond=exosome,EU,auto,f10833cdbea7,2026-07-14
2026-07-14,Regulatory,Clinical trial completed,May lead to new therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT03985696?cond=exosome,EU,auto,12844045436b,2026-07-15
2026-07-15,Regulatory,Exosome trial starts,May validate exosome safety,🟢 Positive,https://clinicaltrials.gov/study/NCT07703969?cond=exosome,Kazakhstan,auto,b0bcfe732b76,2026-07-16
2026-07-15,Regulatory,Exosome trial starts,May validate safety for BM-MSC exosome products,🟢 Positive,https://clinicaltrials.gov/study/NCT07703969?term=extracellular+vesicle,Kazakhstan,auto,b0bcfe732b76,2026-07-16
2026-07-15,Regulatory,Clinical trial completed,Potential treatment for premature ovarian failure,🟢 Positive,https://clinicaltrials.gov/study/NCT06202547?term=extracellular+vesicle,Global,auto,57cc49e95b97,2026-07-16
2026-07-16,Regulatory,Clinical trial for exosomes,Potential new indication for BM-MSC exosome manufacturers,🟢 Positive,https://clinicaltrials.gov/study/NCT07707505?cond=exosome,Global,auto,2fb79e13dacc,2026-07-17
2026-07-16,Regulatory,Exosome trial for wound use,Potential market expansion for BM-MSC exosome products,🟢 Positive,https://clinicaltrials.gov/study/NCT07707986?cond=exosome,Global,auto,ad41de0c1f66,2026-07-17
2026-07-16,Regulatory,Clinical trial for ASD,Potential new indication for BM-MSC exosome manufacturers,🟢 Positive,https://clinicaltrials.gov/study/NCT07243561?cond=exosome,China,auto,be854940524f,2026-07-17
2026-07-16,Regulatory,PANXEON trial recruiting,May validate exosome diagnostics,🟢 Positive,https://clinicaltrials.gov/study/NCT06388967?cond=exosome,USA,auto,64f414427c5f,2026-07-17
2026-07-16,Regulatory,Clinical trial for exosomes,Potential new indication for BM-MSC exosome manufacturers,🟢 Positive,https://clinicaltrials.gov/study/NCT07707505?term=extracellular+vesicle,Global,auto,2fb79e13dacc,2026-07-17
2026-07-16,Regulatory,Exosome trial for wound use,Potential market expansion for BM-MSC exosome products,🟢 Positive,https://clinicaltrials.gov/study/NCT07707986?term=extracellular+vesicle,Global,auto,ad41de0c1f66,2026-07-17
2026-07-20,Pricing,New product launch,Increased competition for BM-MSC exosome products,🔴 Risk,https://www.globenewswire.com/news-release/2026/07/20/3330145/0/en/Sun-Coast-Sciences-Introduces-Slimsculpt-MD-Topical-Body-Contouring-Formulation.html,USA,auto,fb2f99defe8f,2026-07-21
2026-07-20,Regulatory,Trial completed,May lead to new treatment option,🟢 Positive,https://clinicaltrials.gov/study/NCT06319287?cond=exosome,USA,auto,25135cb9d39a,2026-07-21
2026-07-20,Regulatory,Trial completed,May lead to new treatment,🟢 Positive,https://clinicaltrials.gov/study/NCT06319287?term=extracellular+vesicle,USA,auto,25135cb9d39a,2026-07-21
2026-07-21,Regulatory,Clinical trial on EV dynamics,May lead to new diagnostic tools,🟢 Positive,https://clinicaltrials.gov/study/NCT07717060?term=extracellular+vesicle,Global,auto,83d31f294d3e,2026-07-22
2026-07-22,Regulatory,hAMSC secretome study,Potential competition for BM-MSC exosome,🔴 Risk,https://clinicaltrials.gov/study/NCT07721207?term=extracellular+vesicle,EU,auto,802d48092e1d,2026-07-23
2026-07-27,Regulatory,Clinical trial on EVs,Potential biomarker for hypertension,🟡 Neutral,https://clinicaltrials.gov/study/NCT07728643?term=extracellular+vesicle,Global,auto,ae423e767007,2026-07-28
2026-07-27,Regulatory,Hypertension trial recruiting,Potential biomarker for BM-MSC exosome therapy,🟢 Positive,https://clinicaltrials.gov/study/NCT07728630?term=extracellular+vesicle,EU,auto,cc150449f721,2026-07-28
2026-07-27,Regulatory,Clinical trial on EVs,Potential biomarker for pregnancy disorders,🟡 Neutral,https://clinicaltrials.gov/study/NCT07728656?term=extracellular+vesicle,Global,auto,3e5e7bd8d274,2026-07-28
2026-07-28,Regulatory,Clinical trial completed,May inform BM-MSC exosome therapy for diabetes,🟡 Neutral,https://clinicaltrials.gov/study/NCT05259449?cond=exosome,Spain,auto,37886df078b8,2026-07-29
2026-07-31,Regulatory,APHRANEL EU MDR certified,Enhances market access for BM-MSC exosome products,🟢 Positive,https://www.prnewswire.com/news-releases/moyom-advances-european-regenerative-aesthetics-through-aphranel-eu-mdr-certification-and-strategic-scientific-collaboration-with-expert2expert-302839913.html,EU,auto,865da49b28f7,2026-07-31
2026-07-31,Regulatory,APHRANEL EU MDR certified,Enhances market access for BM-MSC exosome products,🟢 Positive,https://www.prnewswire.com/news-releases/moyom-advances-european-regenerative-aesthetics-through-aphranel-eu-mdr-certification-and-strategic-scientific-collaboration-with-expert2expert-302839895.html,EU,auto,865da49b28f7,2026-07-31
2026-07-30,Regulatory,Bladder cancer diagnostic trial,Potential market for exosome diagnostics,🟢 Positive,https://clinicaltrials.gov/study/NCT07735858?cond=exosome,China,auto,0731d2058e92,2026-07-31
2026-07-30,Regulatory,Prostate cancer diagnosis trial,Potential new diagnostic use,🟢 Positive,https://clinicaltrials.gov/study/NCT06604130?cond=exosome,China,auto,e966907e44c4,2026-07-31
